sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Borough Location,Park Location,Sports Played,Week Start Date,Week End Date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Attendance Sum
row-bxcs-3u2d~g4gu,00000000-0000-0000-45EB-3B4F5447C52B,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,"Soccer, Basketball, ultimate Frisbee",2017-04-23T00:00:00,2017-04-22T00:00:00,25,20,30,26,22,100,37,260
row-sgvx.jeuh_zzyg,00000000-0000-0000-CCC1-41BA08ABF8D8,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Basketball,2017-04-30T00:00:00,2017-05-06T00:00:00,250,95,120,180,400,0,0,1045
row-8hux_rmg8_ngcq,00000000-0000-0000-63AE-D11D5CFF6890,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Soccer,2017-05-07T00:00:00,2017-05-13T00:00:00,590,180,250,440,550,730,0,2740
row-je6p~nb4t-q77q,00000000-0000-0000-45CE-02DF7311CF9F,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Pillow Polo,2017-05-14T00:00:00,2017-05-20T00:00:00,550,708,58,680,975,333,670,3974
row-mmti~7pi7-mvbh,00000000-0000-0000-DE08-3DA839F83E0F,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,All sports,2017-05-21T00:00:00,2017-05-27T00:00:00,300,375,280,200,0,370,800,2325
row-95ea_pu7x-f92a,00000000-0000-0000-7881-A1BB87596CCA,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,All Sports,2017-05-28T00:00:00,2017-06-03T00:00:00,0,210,320,280,200,310,210,1530
row-5i28-4ert.jbsp,00000000-0000-0000-D993-E8DDF590A3B0,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,All Sports,2017-04-23T00:00:00,2017-04-29T00:00:00,0,225,320,280,200,310,210,1545
row-8345~68u2.jcci,00000000-0000-0000-E10F-CA0FD04F59CB,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Soccer,2017-05-28T00:00:00,2017-06-03T00:00:00,1450,0,810,560,850,1250,0,4920
row-cpv9-v8sn~s534,00000000-0000-0000-9460-E95116432200,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,SoftBall,2017-06-04T00:00:00,2017-06-10T00:00:00,850,380,0,325,520,950,700,3725
row-i574.hhdg.883v,00000000-0000-0000-957B-EDAEF741D5B4,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Numerous Sports,2017-06-11T00:00:00,2017-06-17T00:00:00,0,0,775,495,475,75,395,2215
row-v4tc~vm28_yxa7,00000000-0000-0000-2C68-F65AF0E04C52,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,"Basketball, Rugby, Soccer, Dodgeball, Pillo Polo, Ultimate Frisbee",2017-06-19T00:00:00,2017-06-24T00:00:00,0,175,500,520,626,400,575,2796
row-pfr9-jqui~wgez,00000000-0000-0000-4A41-449B5F241826,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Basketball, soccer, football, track,",2017-05-07T00:00:00,2017-05-13T00:00:00,0,0,25,20,23,26,27,121
row-6xi2-p3wu.ciww,00000000-0000-0000-7BE7-65FEA69C6B0C,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Basketball, soccer, table tennis, football, track",2017-05-14T00:00:00,2017-05-20T00:00:00,0,0,20,22,23,21,20,106
row-i2m9.7d6f-x8be,00000000-0000-0000-A182-13C96DC480A8,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Soccer, basketball, tennis, track, football, kickball",2017-05-21T00:00:00,2017-05-27T00:00:00,0,0,23,26,25,26,27,127
row-mntj-ppaa~t22f,00000000-0000-0000-FF3E-8582FEE42E23,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Soccer, Basketball, Kickball, Football, table tennis",2017-05-28T00:00:00,2017-06-03T00:00:00,0,0,10,30,29,26,15,110
row-cizj~dap2~3iti,00000000-0000-0000-DA49-9A22FCBF6BBF,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Basketball. soccer, table tennis, football, kickball,",2017-06-04T00:00:00,2017-06-10T00:00:00,0,0,25,27,28,27,20,127
